US 500 (Dec) >2092.0 (4:15PM)	,	19:39.5	,	53.625
US 500 (Dec) >2092.0 (4:15PM)	,	19:38.2	,	53.25
US 500 (Dec) >2092.0 (4:15PM)	,	19:44.6	,	53.25
US 500 (Dec) >2092.0 (4:15PM)	,	19:44.6	,	52.875
US 500 (Dec) >2092.0 (4:15PM)	,	20:11.5	,	51.625
US 500 (Dec) >2092.0 (4:15PM)	,	20:11.5	,	51.25
US 500 (Dec) >2092.0 (4:15PM)	,	20:12.5	,	51.625
US 500 (Dec) >2092.0 (4:15PM)	,	20:12.5	,	51.875
US 500 (Dec) >2092.0 (4:15PM)	,	20:17.5	,	52.125
US 500 (Dec) >2092.0 (4:15PM)	,	20:17.5	,	52.375
US 500 (Dec) >2092.0 (4:15PM)	,	20:17.5	,	51.875
US 500 (Dec) >2095.0 (4:15PM)	,	20:17.5	,	45.25
US 500 (Dec) >2095.0 (4:15PM)	,	20:17.5	,	45.625
US 500 (Dec) >2095.0 (4:15PM)	,	20:17.5	,	44.875
US 500 (Dec) >2095.0 (4:15PM)	,	20:12.5	,	44.75
US 500 (Dec) >2095.0 (4:15PM)	,	20:11.5	,	44.375
US 500 (Dec) >2095.0 (4:15PM)	,	19:44.6	,	46.375
US 500 (Dec) >2095.0 (4:15PM)	,	19:44.6	,	46.125
US 500 (Dec) >2095.0 (4:15PM)	,	19:38.2	,	46.375
US 500 (Dec) >2095.0 (4:15PM)	,	19:39.5	,	46.625
US 500 (Dec) >2095.0 (4:15PM)	,	20:04.1	,	45.875
US 500 (Dec) >2095.0 (4:15PM)	,	20:04.1	,	45.625
US 500 (Dec) >2095.0 (4:15PM)	,	20:05.6	,	45.25
US 500 (Dec) >2095.0 (4:15PM)	,	20:06.0	,	44.875
US 500 (Dec) >2095.0 (4:15PM)	,	19:04.4	,	46.125
US 500 (Dec) >2095.0 (4:15PM)	,	19:11.4	,	46.625
US 500 (Dec) >2095.0 (4:15PM)	,	19:24.0	,	46.125
US 500 (Dec) >2095.0 (4:15PM)	,	19:23.6	,	46.375
US 500 (Dec) >2095.0 (4:15PM)	,	20:47.3	,	44.375
US 500 (Dec) >2095.0 (4:15PM)	,	20:35.7	,	44.375
US 500 (Dec) >2095.0 (4:15PM)	,	20:36.4	,	44.875
US 500 (Dec) >2098.0 (4:15PM)	,	20:36.4	,	38.25
US 500 (Dec) >2098.0 (4:15PM)	,	20:35.7	,	37.75
US 500 (Dec) >2098.0 (4:15PM)	,	20:47.3	,	37.75
US 500 (Dec) >2098.0 (4:15PM)	,	19:23.5	,	39.625
US 500 (Dec) >2098.0 (4:15PM)	,	19:23.9	,	39.375
US 500 (Dec) >2098.0 (4:15PM)	,	19:11.6	,	39.875
US 500 (Dec) >2098.0 (4:15PM)	,	19:04.4	,	39.375
US 500 (Dec) >2098.0 (4:15PM)	,	20:06.0	,	38.25
US 500 (Dec) >2098.0 (4:15PM)	,	20:05.6	,	38.625
US 500 (Dec) >2098.0 (4:15PM)	,	20:04.2	,	39.125
US 500 (Dec) >2098.0 (4:15PM)	,	20:04.2	,	38.875
US 500 (Dec) >2098.0 (4:15PM)	,	19:39.5	,	39.875
US 500 (Dec) >2098.0 (4:15PM)	,	19:38.2	,	39.625
